Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" P.BL2.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Manually , -- , -- ," The baseline is manually determined by visual inspection.  <br /> **Input:** <br /> [[Data (Q.GE1.002)](quantities.md#Data), [Data grid (Q.GE1.001)](quantities.md#DataGrid) <br /> **Output**: <br /> [Baseline (Q.BL1.001)](quantities.md#f_BL) ", -- 
" P.BL2.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", nth data value , -- , -- ," The baseline is determined as the data value of the nth data grid point.  <br /> **Input:** <br /> [[Data (Q.GE1.002)](quantities.md#Data), [Data grid (Q.GE1.001)](quantities.md#DataGrid)], <br /> [Index n (Q.GE1.003)](quantities.md#index) <br /> **Output**: <br /> [Baseline (Q.BL1.001)](quantities.md#f_BL) ", -- 
" P.BL2.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Mean baseline of range , -- , Mean baseline ," The baseline is determined as the mean of data values in the data grid range (Start, End).  <br /> **Input:** <br /> [[Data (Q.GE1.002)](quantities.md#Data), [Data grid (Q.GE1.001)](quantities.md#DataGrid)], <br /> [Start of range (Q.GE1.013)](quantities.md#x_start),  <br /> [End of range (Q.GE1.014)](quantities.md#x_end) <br /> **Output**: <br /> [Baseline (Q.BL1.001)](quantities.md#f_BL) ", -- 
" P.BL2.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Minimum value , -- , Minimum ," The baseline is determined as the minimum of all data values.  <br /> **Input:** <br /> [[Data (Q.GE1.002)](quantities.md#Data), [Data grid (Q.GE1.001)](quantities.md#DataGrid)] <br /> **Output**: <br /> [Baseline (Q.BL1.001)](quantities.md#f_BL) ", -- 
" P.BL2.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> ", Model-based , -- , -- ," A specified model is fitted to the data, yielding the baseline value as one of the estimated model parameters.  <br /> **Input:** <br /> Inversion method (select from [Inversion methods](generalPurposeProcesses.md#Inversion methods)) <br /> **Output**: <br /> [Baseline (Q.BL1.001)](quantities.md#f_BL) ", Singh et al. 2009 
 P.BL2.999 , Method not listed , -- , -- ,"This is a custom free-text item, which can be used if a method of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage.  ", -- 
