Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" G.DE2.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""SVD""></a> Singular Value Decomposition ", -- , SVD ," Algebraic deconvolution of $h(x) = f(x) \ast g(x)$ with $f(x)$ and $h(x)$ sampled at discrete points $[f(x), x]$ and $[g(x), x]$. The convolution equation is discretized according to a given discretization method and the resulting matrix equation is solved as a regularized least-squares problem with a given regularization method. <br/> **Input:** <br /> [[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}] =  [f(x), x], <br /> [[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}] = [g(x), x], <br /> Discretization method (select from [discretization methods](#Discretization methods) ), <br /> [Regularization method](#Regularization method) <br /> **Output**: <br />[[Data (Q.GE1.002)](quantities.md#Data){:target=""_blank""}, [Data grid (Q.GE1.001)](quantities.md#DataGrid){:target=""_blank""}] = [g(x), x] <br />  ", -- 
 G.DE2.999 ," <a id=""not listed DE2""></a> Method not listed ", -- , -- ,"This is a custom free-text item, which can be used if a method of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage.  ", -- 
