Code,OSIPI name,Alternative names,Notation,Description,Reference
 -- , -- , -- , -- , -- , -- 
" G.DI1.001 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Numerical convolution 1st order""></a> Numerical convolution (first order)", -- , -- , Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_n = \Delta x\cdot \sum_{i=0}^{n} (g_i\cdot h_{n-i})$  , -- 
" G.DI1.002 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Block-circulant""></a> Block-circulant ", -- , -- , Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_n = \Delta x\cdot(g_0h_n+g_1h_{n-1}+...+g_Nh_{n-N})$ . </br> This requires $h_i$ to be pre-padded with *N* zeros such that $h_{i < 0} = 0$., Wu 2004 
" G.DI1.003 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Volterra linear""></a> Volterra linear ", -- , -- , Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_n = \Delta x\cdot (h_0g_n^+ +\sum_{i=1}^{n-1}h_{n-i}g_i^{\pm}+h_ng_0^+)$, Sourbron 2003 
" G.DI1.004 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Singular""></a> Singular ", -- , -- , Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_n = \Delta x\cdot(\sum_{i=-\infty }^{+\infty }h_{n-i}g_i^\pm )$. <br> It is assumed that $g_i^\pm = 0$ for $i < 0$ and there is an index $k$ such that $h_n = 0$ for $n <- k$. , Ostergaard 1996 
" G.DI1.005 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Hybrid""></a> Hybrid ", -- , -- , Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_n = \frac{\Delta x}{2}\cdot(\sum_{i=-\infty }^{+\infty}h_{n-i}(g_{i-1}+g_i))$. , Willats 2006 
" G.DI1.006 <button class=""md-button md-button--hyperlink"">COPY LINK</button> "," <a id=""Exponential convolution""></a> Exponential convolution ", --, --, Convolutions <br>$f(x)=g(x) \ast h(x)$ <br>are calculated as <br>$f_{i+1}=e^{-x_i}f_i+g_iE_0(x_i)+a_i^\prime TE_1(x_i)$ <br>with $x_i=\frac{t_{i+1}-t_i}{T}; a'_i=\frac{a_{i+1}-a}{t_{i+1}-t_i};\ E_0(x) = 1-e^{-x};\ E_1(x)=x-E_0(x)$. , Flouri 2016 
 G.DI1.999 ," <a id=""not listed DI1""></a> Method not listed ", -- , -- ,"This is a custom free-text item, which can be used if a method of interest is not listed. Please state a literature reference and request the item to be added to the lexicon for future usage.  ", -- 
